Golpata Extraction Capacity,Catching Capacity Mangrove,Catching Capacity Household,Crop Production Capacity,Mangrove Fishers in Loan,Household Fishers in Loan,Farmers in Loan,Golpata Stock,Current Bawali Count
-1.9800693230986501,2.2598641100647523,2.520201333999604,0.1672664918140535,81,0,23,28275.45055028305,237
-2.1552699910148667,2.257480593874273,2.52382382253265,0.13645558235831412,85,0,25,41775.45055028305,276
-1.709813018663908,2.2569739517514646,2.522952713776097,0.18978711700186193,94,0,15,35629.78144511155,206
-2.206069574826261,2.263837032258307,2.526070384863202,0.12936551703159932,96,0,14,29211.574060017643,281
-1.857771028775846,2.267709392394743,2.5280120153923074,0.1700487364931088,99,0,17,21901.511418630053,226
-2.2037775190203046,2.2599218511999393,2.527805682333747,0.11969576049068803,100,1,19,35251.51141863005,291
-1.6295105332239308,2.2651179798784558,2.5271177053344136,0.18891983302315088,99,1,19,28674.87314260768,200
-2.2889847275996815,2.2710897079866665,2.5200691612474757,0.11110271977160079,93,1,17,21655.272607513474,300
-1.8184567939138974,2.2706776668545974,2.5209303092567947,0.15683365511154937,90,1,19,34505.27260751347,238
-1.9434849609922067,2.2674458954255323,2.5106162637256064,0.14519241485501666,93,1,19,27907.50763676503,252
-1.9123790266450709,2.275933954300009,2.4981648955472466,0.1349697590077529,91,1,18,41457.50763676503,264
-1.598387136864705,2.2753416294267184,2.4952256830921216,0.17437857029601544,92,1,21,35730.78191860343,208
-2.03843922740895,2.28356651630943,2.495033130663485,0.12232593052763019,85,1,23,29275.653805924685,280
-1.6682027251156835,2.2861289086333003,2.506782246391094,0.1655547195500787,86,1,15,22340.44235324497,218
-2.077522307995677,2.28499597586651,2.4981129241607407,0.1089688107834827,84,0,18,35740.44235324497,295
-1.5309191044645611,2.288508952604683,2.509675250874038,0.17425976044535174,88,0,20,28899.39283844401,202
-2.133082870651334,2.28397489590275,2.5111686433172626,0.10392248304035899,82,0,21,21777.56626688422,300
-1.667571288122457,2.281068425112303,2.5030610844861467,0.14824560076347615,82,0,17,34802.56626688422,235
